CL,CLXBOXPS4,GT,CIRCUIT,TEMPS,Help1,Help2,Help3,POINTSCHRONO,POINTS CHRONO ENTIER
38,67,WD-TigersAntho54,3,135681,1,1,1,0.93,0
35,81,GUNNERS89800,3,136695,0,1,0,0.85,0
45,88,WALID0517,3,139281,1,1,1,0.82,0
28,89,REPZOR27,3,139971,0,0,0,0.81,0
28,62,GUNNERS89800,10,149345,0,1,0,1.5,0
10,23,NEO MUSHRA,11,130319,0,0,0,35,35
17,36,VRT SAITO666,11,131100,0,0,1,14,7
26,38,WD-BOUKHIS33,11,131219,1,1,1,8,1
27,60,RCR-MORGAN_022,11,135765,0,0,0,0.93,0
8,21,RCR-NICO_63,11,130214,0,0,0,35,35
9,24,MWW_Okiel17,11,130399,0,0,0,25,25
17,34,JOWARRIOR1896,10,146336,0,0,1,14,7
31,49,WD-BOUKHIS33,6,140984,1,1,1,5,0
40,71,WD-BOUKHIS33,3,135848,1,1,1,0.91,0
44,86,DDAIGURA,3,138018,1,1,1,0.83,0
34,56,SPEED X RALIA63,3,135331,1,0,1,1,0
43,84,CONSTANTZEBRE65,3,137631,1,1,1,0.85,0
19,26,AEL22,3,133976,1,1,1,20,2
19,51,MAGICESTEVES,11,132447,0,0,0,4,4
